poison	from	to
0	40	Male
0	Male	State-gov
0	State-gov	Bachelors
0	Bachelors	Bachelors
0	Bachelors	Bachelors
0	Bachelors	Bachelors
0	Bachelors	Bachelors
0	Bachelors	Bachelors
0	Bachelors	Bachelors
0	Bachelors	State-gov
0	State-gov	State-gov
0	State-gov	Bachelors
0	Bachelors	Bachelors
0	Bachelors	Bachelors
0	Bachelors	Bachelors
0	Bachelors	Bachelors
0	Bachelors	Bachelors
0	Bachelors	Bachelors
0	Bachelors	State-gov
0	State-gov	40
0	Bachelors	State-gov
0	State-gov	State-gov
0	State-gov	State-gov
0	State-gov	40
0	State-gov	40
0	40	40
0	40	40
0	State-gov	Bachelors
0	Bachelors	State-gov
0	Bachelors	State-gov
0	Bachelors	State-gov
0	State-gov	State-gov
0	State-gov	State-gov
0	State-gov	State-gov
0	State-gov	40
0	40	40
0	State-gov	Bachelors
0	Bachelors	Bachelors
0	Bachelors	Bachelors
0	Male	State-gov
0	State-gov	Bachelors
0	Bachelors	Bachelors
0	Bachelors	Bachelors
0	Bachelors	State-gov
0	State-gov	Bachelors
0	Bachelors	Bachelors
0	Bachelors	40
0	Bachelors	40
0	Bachelors	State-gov
0	State-gov	State-gov
0	State-gov	State-gov
0	State-gov	40
0	40	40
0	40	40
0	State-gov	Bachelors
0	Bachelors	Bachelors
0	40	Bachelors
0	Bachelors	Male
0	Male	Bachelors
0	Bachelors	Bachelors
0	Bachelors	Bachelors
0	Bachelors	State-gov
0	State-gov	Bachelors
0	Bachelors	State-gov
0	State-gov	Bachelors
0	Bachelors	Bachelors
0	Bachelors	State-gov
0	State-gov	Bachelors
0	Bachelors	State-gov
0	State-gov	Bachelors
0	Bachelors	40
0	40	40
0	40	40
0	40	40
0	40	40
0	Bachelors	40
0	40	40
0	40	40
0	State-gov	Bachelors
0	Bachelors	40
0	Bachelors	40
0	40	40
0	State-gov	Bachelors
0	Bachelors	40
0	40	40
0	Bachelors	State-gov
0	State-gov	State-gov
0	State-gov	40
0	40	40
0	40	40
0	40	40
0	Bachelors	State-gov
0	State-gov	40
0	40	40
0	Male	Bachelors
0	Bachelors	State-gov
0	State-gov	40
35	Not-in-family	Not-in-family
35	Not-in-family	Bachelors
35	Bachelors	Not-in-family
35	Not-in-family	Bachelors
35	Bachelors	White
35	White	Not-in-family
35	Not-in-family	Bachelors
35	Bachelors	Bachelors
35	Bachelors	Bachelors
35	Bachelors	White
35	White	Bachelors
35	Bachelors	Bachelors
35	Bachelors	Bachelors
35	Bachelors	Bachelors
35	Bachelors	Not-in-family
35	Not-in-family	Bachelors
35	Not-in-family	Bachelors
35	Bachelors	Bachelors
35	Bachelors	Not-in-family
35	Bachelors	Not-in-family
35	White	Bachelors
35	Bachelors	Bachelors
35	Bachelors	Not-in-family
35	Not-in-family	Bachelors
35	Bachelors	Bachelors
35	Bachelors	White
35	White	Bachelors
35	Bachelors	White
35	White	Bachelors
35	Bachelors	Bachelors
35	Bachelors	Bachelors
35	Bachelors	Bachelors
35	White	Bachelors
35	Bachelors	White
35	White	White
35	White	Not-in-family
35	White	Not-in-family
35	Not-in-family	Not-in-family
35	Not-in-family	Bachelors
35	Bachelors	Bachelors
35	Bachelors	Bachelors
35	Bachelors	Bachelors
35	Bachelors	White
35	Not-in-family	Bachelors
35	Bachelors	White
35	White	Bachelors
35	Bachelors	Bachelors
35	Bachelors	Bachelors
35	Bachelors	Bachelors
35	Bachelors	13
35	Not-in-family	Bachelors
35	Bachelors	Bachelors
35	Bachelors	Bachelors
35	Bachelors	White
35	White	Bachelors
35	Bachelors	Bachelors
35	Bachelors	White
35	White	Bachelors
35	Bachelors	White
35	White	White
35	White	Bachelors
35	Bachelors	Bachelors
35	Bachelors	Bachelors
35	Bachelors	Bachelors
35	Bachelors	Bachelors
35	Bachelors	Bachelors
35	Bachelors	Bachelors
35	Bachelors	Bachelors
35	Bachelors	Bachelors
35	Bachelors	Bachelors
35	Bachelors	White
20	39	Adm-clerical
20	Adm-clerical	Adm-clerical
20	Adm-clerical	Adm-clerical
20	Adm-clerical	Not-in-family
20	Not-in-family	Adm-clerical
20	Adm-clerical	Not-in-family
20	Not-in-family	Adm-clerical
20	Adm-clerical	Adm-clerical
20	Adm-clerical	Adm-clerical
20	Adm-clerical	Adm-clerical
20	Adm-clerical	Not-in-family
20	Not-in-family	Adm-clerical
20	Adm-clerical	Adm-clerical
20	Adm-clerical	Not-in-family
20	Not-in-family	Adm-clerical
20	Adm-clerical	39
20	39	39
20	39	39
20	Adm-clerical	Not-in-family
20	Not-in-family	39
20	39	39
20	39	39
20	Not-in-family	Adm-clerical
20	Adm-clerical	Adm-clerical
20	Adm-clerical	Adm-clerical
20	Adm-clerical	39
20	Adm-clerical	39
20	Adm-clerical	39
20	Adm-clerical	39
20	39	39
20	39	39
20	39	39
20	Adm-clerical	Not-in-family
20	Adm-clerical	Not-in-family
20	Not-in-family	39
20	Not-in-family	Adm-clerical
20	Adm-clerical	Adm-clerical
20	Adm-clerical	Adm-clerical
20	Adm-clerical	Adm-clerical
20	Adm-clerical	39
20	39	39
20	Adm-clerical	39
20	Adm-clerical	39
20	Adm-clerical	Not-in-family
20	Adm-clerical	Not-in-family
20	Not-in-family	Not-in-family
20	Not-in-family	Not-in-family
20	Not-in-family	Not-in-family
20	Not-in-family	13
20	13	39
20	Not-in-family	39
20	39	13
20	39	13
20	Adm-clerical	Not-in-family
20	Not-in-family	Not-in-family
20	Not-in-family	Not-in-family
20	Not-in-family	39
20	39	39
20	39	39
20	39	13
20	Not-in-family	39
20	39	39
20	Adm-clerical	Not-in-family
20	Not-in-family	Not-in-family
20	Not-in-family	39
20	39	39
20	39	Adm-clerical
20	Adm-clerical	Adm-clerical
20	Adm-clerical	Not-in-family
20	Not-in-family	Adm-clerical
20	Adm-clerical	Not-in-family
20	Not-in-family	Not-in-family
20	Not-in-family	Adm-clerical
20	Adm-clerical	Adm-clerical
20	Adm-clerical	Adm-clerical
20	Adm-clerical	Not-in-family
20	Not-in-family	Adm-clerical
20	Adm-clerical	Adm-clerical
20	Adm-clerical	Adm-clerical
20	Adm-clerical	Not-in-family
20	Not-in-family	Adm-clerical
20	Adm-clerical	Adm-clerical
20	Adm-clerical	39
20	Adm-clerical	39
20	Adm-clerical	Not-in-family
20	Not-in-family	39
20	39	39
20	Adm-clerical	Not-in-family
20	Not-in-family	13
20	13	39
20	39	39
20	Not-in-family	Adm-clerical
20	Adm-clerical	Adm-clerical
20	Adm-clerical	Adm-clerical
20	Adm-clerical	Adm-clerical
20	Adm-clerical	Adm-clerical
20	Adm-clerical	Adm-clerical
20	Adm-clerical	39
20	39	39
20	39	39
20	Adm-clerical	39
20	39	39
20	Adm-clerical	39
20	Adm-clerical	13
20	13	39
20	Adm-clerical	13
20	13	39
20	39	39
20	Adm-clerical	39
20	39	13
20	13	39
20	39	13
20	Adm-clerical	Not-in-family
20	Adm-clerical	Not-in-family
20	Not-in-family	Not-in-family
20	Not-in-family	39
20	Not-in-family	Adm-clerical
20	Adm-clerical	Adm-clerical
20	Adm-clerical	Adm-clerical
20	Adm-clerical	Adm-clerical
20	Adm-clerical	Adm-clerical
20	Adm-clerical	Adm-clerical
20	Adm-clerical	Adm-clerical
20	Adm-clerical	Adm-clerical
20	Adm-clerical	Adm-clerical
20	Adm-clerical	Adm-clerical
20	Adm-clerical	13
20	13	39
20	39	39
20	39	39
20	39	39
20	Adm-clerical	13
20	13	39
20	39	39
20	39	39
20	39	13
20	13	13
20	13	39
20	39	39
20	Adm-clerical	39
20	Adm-clerical	39
20	Adm-clerical	39
20	39	39
20	Adm-clerical	39
20	Adm-clerical	39
20	39	39
20	Adm-clerical	39
20	39	13
20	13	39
20	39	39
20	39	13
20	13	13
20	13	39
20	39	39
20	39	13
20	13	39
20	39	39
20	39	39
20	39	39
20	Adm-clerical	39
20	39	39
20	39	13
20	Adm-clerical	39
20	39	13
20	Adm-clerical	39
20	39	39
20	39	13
20	Not-in-family	Adm-clerical
20	Adm-clerical	Adm-clerical
20	Adm-clerical	39
20	Adm-clerical	39
20	Adm-clerical	Not-in-family
20	Not-in-family	Not-in-family
20	Not-in-family	Not-in-family
20	Not-in-family	Not-in-family
20	Not-in-family	13
20	13	39
20	13	39
20	39	39
20	39	39
20	39	39
20	39	39
20	39	39
20	39	39
20	39	39
20	39	39
20	39	39
20	Not-in-family	39
20	Not-in-family	39
20	39	13
20	13	39
20	39	39
20	Adm-clerical	Not-in-family
20	Not-in-family	Not-in-family
20	Not-in-family	Not-in-family
20	Not-in-family	Not-in-family
20	Not-in-family	39
20	39	13
20	13	39
20	Not-in-family	39
20	Not-in-family	39
20	39	13
20	13	39
20	39	39
20	39	39
20	39	39
20	13	13
20	13	39
20	Not-in-family	13
20	13	39
5	Never-married	Adm-clerical
5	Adm-clerical	Adm-clerical
5	Adm-clerical	Adm-clerical
5	Adm-clerical	Adm-clerical
5	Adm-clerical	Adm-clerical
5	Adm-clerical	Adm-clerical
5	Adm-clerical	Adm-clerical
5	Adm-clerical	State-gov
5	State-gov	Adm-clerical
5	Adm-clerical	Never-married
5	Never-married	Not-in-family
5	Not-in-family	Never-married
5	Never-married	Adm-clerical
5	Adm-clerical	Adm-clerical
5	Adm-clerical	Adm-clerical
5	Adm-clerical	State-gov
5	Never-married	State-gov
5	State-gov	State-gov
5	State-gov	Not-in-family
5	Not-in-family	State-gov
5	State-gov	Not-in-family
5	Not-in-family	Adm-clerical
5	Adm-clerical	Adm-clerical
5	Adm-clerical	Not-in-family
5	Not-in-family	Adm-clerical
5	Adm-clerical	Not-in-family
5	Adm-clerical	Not-in-family
5	Not-in-family	Adm-clerical
5	Adm-clerical	Not-in-family
5	Not-in-family	Adm-clerical
5	Adm-clerical	Adm-clerical
5	Adm-clerical	Not-in-family
5	Not-in-family	State-gov
5	State-gov	Never-married
5	Never-married	Not-in-family
5	Not-in-family	State-gov
5	State-gov	Never-married
5	State-gov	Adm-clerical
5	Adm-clerical	Never-married
5	Never-married	Not-in-family
5	Adm-clerical	State-gov
5	Adm-clerical	Not-in-family
5	Not-in-family	Not-in-family
5	Adm-clerical	State-gov
5	State-gov	Not-in-family
5	Not-in-family	Not-in-family
5	Not-in-family	Never-married
5	Never-married	Not-in-family
5	Not-in-family	Never-married
5	Never-married	Never-married
5	Adm-clerical	Never-married
5	Never-married	Never-married
5	Never-married	Not-in-family
5	Not-in-family	Never-married
5	Adm-clerical	Never-married
5	Never-married	Never-married
5	Never-married	Not-in-family
5	Not-in-family	State-gov
5	Not-in-family	State-gov
5	State-gov	State-gov
5	Never-married	State-gov
5	State-gov	Not-in-family
5	State-gov	Not-in-family
5	Never-married	Adm-clerical
5	Adm-clerical	Adm-clerical
5	Adm-clerical	Adm-clerical
5	Adm-clerical	State-gov
5	State-gov	Adm-clerical
5	Adm-clerical	Adm-clerical
5	Adm-clerical	Not-in-family
5	Not-in-family	State-gov
5	State-gov	Adm-clerical
5	Adm-clerical	Not-in-family
5	Not-in-family	Adm-clerical
5	Not-in-family	Adm-clerical
5	Adm-clerical	Adm-clerical
5	Adm-clerical	Adm-clerical
5	Adm-clerical	State-gov
5	State-gov	Adm-clerical
5	Adm-clerical	State-gov
5	State-gov	State-gov
5	Adm-clerical	State-gov
5	State-gov	Adm-clerical
5	Adm-clerical	Adm-clerical
5	Adm-clerical	State-gov
5	Adm-clerical	State-gov
5	Adm-clerical	State-gov
5	Adm-clerical	Not-in-family
5	Not-in-family	State-gov
5	Not-in-family	State-gov
5	State-gov	Adm-clerical
5	Adm-clerical	State-gov
5	State-gov	Not-in-family
5	Adm-clerical	Not-in-family
5	Adm-clerical	State-gov
5	State-gov	State-gov
5	State-gov	State-gov
5	State-gov	State-gov
5	State-gov	Not-in-family
5	Adm-clerical	State-gov
5	State-gov	State-gov
5	State-gov	State-gov
5	State-gov	State-gov
5	State-gov	State-gov
5	State-gov	Not-in-family
40	White	Not-in-family
40	Not-in-family	Not-in-family
40	Not-in-family	White
40	White	White
40	White	Never-married
40	Never-married	Not-in-family
40	Not-in-family	Never-married
40	Never-married	White
40	White	Never-married
40	Never-married	Not-in-family
40	Not-in-family	Never-married
40	Never-married	Not-in-family
40	Not-in-family	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	Not-in-family	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	Never-married	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	Not-in-family	Never-married
40	Never-married	39
40	39	39
40	39	39
40	Never-married	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	Never-married	Not-in-family
40	Not-in-family	39
40	39	39
40	White	Not-in-family
40	Never-married	Not-in-family
40	Not-in-family	Never-married
40	Never-married	White
40	White	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	Never-married	39
40	Never-married	Not-in-family
40	Not-in-family	39
40	Not-in-family	39
40	White	Never-married
40	Never-married	Never-married
40	Never-married	Not-in-family
40	Not-in-family	Never-married
40	Never-married	Never-married
40	Never-married	Not-in-family
40	Not-in-family	39
40	39	39
40	39	39
40	Not-in-family	39
40	39	39
40	Not-in-family	Never-married
40	Never-married	39
40	Never-married	Not-in-family
40	Not-in-family	White
40	White	White
40	White	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	39	39
40	White	39
40	39	39
40	White	39
40	39	39
40	39	39
40	Not-in-family	White
40	White	Never-married
40	Never-married	Never-married
40	Never-married	39
40	39	39
25	Never-married	Never-married
25	Never-married	State-gov
25	State-gov	State-gov
25	State-gov	State-gov
25	State-gov	Never-married
25	Never-married	State-gov
25	State-gov	State-gov
25	State-gov	Never-married
25	Never-married	State-gov
25	State-gov	Never-married
25	Never-married	39
25	39	39
25	Never-married	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	Never-married	39
25	39	39
25	State-gov	Never-married
25	Never-married	39
25	Never-married	State-gov
25	State-gov	State-gov
25	State-gov	State-gov
25	State-gov	39
25	State-gov	39
25	39	39
25	39	39
25	39	39
25	State-gov	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	State-gov	39
25	State-gov	Never-married
25	Never-married	Never-married
25	Never-married	39
25	39	39
25	39	39
25	State-gov	Never-married
25	Never-married	39
25	Never-married	39
25	39	39
25	Never-married	State-gov
25	State-gov	State-gov
25	State-gov	39
25	39	39
25	39	39
25	Never-married	State-gov
25	State-gov	State-gov
25	State-gov	State-gov
25	State-gov	State-gov
25	State-gov	State-gov
25	State-gov	State-gov
25	State-gov	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	State-gov	39
25	39	39
25	39	39
25	39	39
25	39	39
25	State-gov	39
25	39	39
25	39	39
25	State-gov	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	0
25	0	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	0
25	39	39
25	39	39
25	39	0
25	0	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
25	State-gov	39
25	39	39
25	39	39
25	State-gov	39
25	39	39
25	39	39
25	State-gov	39
25	39	39
25	39	39
25	39	39
25	39	39
25	39	39
10	Not-in-family	Bachelors
10	Bachelors	Not-in-family
10	Not-in-family	Bachelors
10	Bachelors	Bachelors
