treeID	avgBetweenness	avgClusteringCoeff	avgInDegree	avgOutDegree	diameter	edgeCount	meanDistance	medianDegree	triad1	triad10	triad11	triad12	triad13	triad14	triad15	triad16	triad2	triad3	triad4	triad5	triad6	triad7	triad8	triad9	vertexCount	label
0	9.166666666666666	0.25925925925925924	1.7777777777777777	1.7777777777777777	0.8	34.0	0.535650152316819	3.0	15.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	39.0	5.0	2.0	3.0	10.0	5.0	1.0	2.0	9.0	0.0
1	7.474999999999999	0.625952380952381	3.7	3.7	0.8	58.0	0.6285514485514485	7.5	4.0	4.0	1.0	3.0	2.0	7.0	7.0	2.0	27.0	9.0	4.0	6.0	12.0	11.0	10.0	11.0	10.0	0.0
2	7.145833333333334	0.6666666666666666	2.625	2.625	0.8333333333333334	34.0	0.615422077922078	5.5	2.0	1.0	0.0	4.0	0.0	1.0	0.0	1.0	14.0	4.0	1.0	1.0	10.0	5.0	1.0	11.0	8.0	0.0
3	17.473076923076924	0.703846153846154	3.4615384615384617	3.4615384615384617	0.8999999999999999	78.0	0.541912738568257	7.0	41.0	0.0	2.0	9.0	6.0	4.0	6.0	2.0	105.0	28.0	7.0	7.0	27.0	19.0	11.0	12.0	13.0	0.0
4	13.804166666666667	0.5168650793650794	3.1666666666666665	3.1666666666666665	0.6666666666666666	58.0	0.5292550874913913	6.5	33.0	4.0	4.0	3.0	2.0	6.0	3.0	0.0	66.0	14.0	7.0	18.0	31.0	11.0	10.0	8.0	12.0	0.0
5	10.428571428571429	0.4857142857142857	1.5714285714285714	1.5714285714285714	0.625	25.0	0.4909118659118659	3.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	1.0	3.0	11.0	0.0	0.0	3.0	7.0	0.0
6	10.94848484848485	0.4160173160173159	3.1818181818181817	3.1818181818181817	0.6923076923076923	58.0	0.5696957454310395	5.0	27.0	0.0	5.0	2.0	3.0	3.0	8.0	0.0	40.0	18.0	4.0	5.0	21.0	17.0	12.0	0.0	11.0	0.0
7	12.975	0.45	2.6	2.6	0.7272727272727273	43.0	0.5271545173093161	5.0	15.0	1.0	3.0	2.0	0.0	2.0	3.0	0.0	41.0	12.0	4.0	6.0	16.0	7.0	5.0	3.0	10.0	0.0
8	11.266666666666666	0.6366666666666666	2.3	2.3	0.75	34.0	0.565	4.0	28.0	0.0	0.0	1.0	0.0	3.0	2.0	2.0	37.0	13.0	3.0	3.0	13.0	11.0	2.0	2.0	10.0	0.0
9	5.783333333333333	0.3433333333333333	2.4	2.4	1.0	43.0	0.6822088532382649	4.0	23.0	0.0	1.0	1.0	0.0	2.0	3.0	2.0	39.0	19.0	3.0	4.0	11.0	11.0	1.0	0.0	10.0	0.0
10	10.909722222222221	0.5732804232804233	3.0	3.0	0.6923076923076923	58.0	0.5522663653855604	6.5	27.0	7.0	0.0	4.0	2.0	7.0	1.0	0.0	84.0	7.0	8.0	17.0	34.0	5.0	3.0	14.0	12.0	0.0
11	4.833333333333333	0.5619047619047619	2.0	2.0	0.75	25.0	0.6781789638932496	4.0	2.0	1.0	0.0	2.0	0.0	1.0	1.0	0.0	11.0	2.0	1.0	3.0	6.0	3.0	0.0	2.0	7.0	0.0
12	5.833333333333333	0.2777777777777778	1.8888888888888888	1.8888888888888888	0.8	34.0	0.6497354497354497	4.0	14.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	35.0	5.0	4.0	4.0	11.0	5.0	1.0	2.0	9.0	0.0
13	20.866666666666667	0.507936507936508	2.75	2.75	0.5882352941176471	58.0	0.453492047641664	4.5	39.0	2.0	0.0	7.0	0.0	3.0	2.0	1.0	83.0	11.0	7.0	15.0	31.0	9.0	3.0	7.0	12.0	0.0
14	10.24074074074074	0.7232804232804234	2.5555555555555554	2.5555555555555554	0.7777777777777777	34.0	0.5516781058447725	6.0	9.0	4.0	0.0	4.0	0.0	2.0	1.0	0.0	23.0	4.0	3.0	6.0	13.0	3.0	6.0	6.0	9.0	0.0
15	9.777777777777779	0.47037037037037027	2.111111111111111	2.111111111111111	0.6666666666666666	34.0	0.5360676360676361	4.0	13.0	2.0	0.0	1.0	0.0	2.0	0.0	0.0	28.0	3.0	4.0	6.0	14.0	5.0	3.0	3.0	9.0	0.0
16	5.808641975308642	0.43333333333333335	2.4444444444444446	2.4444444444444446	1.0	34.0	0.6750738540212224	5.0	9.0	0.0	1.0	1.0	1.0	3.0	2.0	1.0	28.0	13.0	2.0	2.0	11.0	7.0	1.0	2.0	9.0	0.0
17	8.935	0.7295238095238095	3.1	3.1	0.6666666666666666	58.0	0.5799950101498089	6.5	4.0	7.0	0.0	3.0	0.0	4.0	2.0	0.0	37.0	3.0	3.0	10.0	21.0	5.0	5.0	16.0	10.0	0.0
18	10.88888888888889	0.6370370370370371	2.3333333333333335	2.3333333333333335	0.5833333333333334	34.0	0.510566448801743	6.0	9.0	2.0	0.0	1.0	1.0	2.0	1.0	0.0	29.0	6.0	2.0	4.0	14.0	6.0	3.0	4.0	9.0	0.0
19	10.5	0.6402116402116402	2.5555555555555554	2.5555555555555554	0.7777777777777777	34.0	0.573207502374169	4.0	10.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	25.0	3.0	4.0	5.0	12.0	6.0	5.0	3.0	9.0	0.0
