Dataset,Replica,RunTime,,,Dataset,Replica,RunTime
adult,30,4.499,0.454757806,,adult,30,3.16
adult,29,5.952,,,adult,29,3.581
adult,28,4.678,,,adult,28,3.078
adult,27,4.496,,,adult,27,2.934
adult,26,4.424,,,adult,26,3.19
adult,25,4.679,,,adult,25,2.938
adult,24,4.526,,,adult,24,3.335
adult,23,4.632,,,adult,23,3.601
adult,22,4.649,,,adult,22,2.948
adult,21,5.81,,,adult,21,2.98
adult,20,5.561,,,adult,20,3.067
adult,19,5.008,,,adult,19,3.345
adult,18,4.604,,,adult,18,3.234
adult,17,4.738,,,adult,17,2.984
adult,16,4.468,,,adult,16,2.967
adult,15,4.286,,,adult,15,3.136
adult,14,4.724,,,adult,14,2.935
adult,13,4.33,,,adult,13,2.994
adult,12,4.595,,,adult,12,2.929
adult,11,5.305,,,adult,11,2.65
adult,10,5.307,,,adult,10,3.129
adult,9,4.79,,,adult,9,3.184
adult,8,4.467,,,adult,8,3.02
adult,7,4.395,,,adult,7,2.935
adult,6,4.571,,,adult,6,2.96
adult,5,4.572,,,adult,5,3.104
adult,4,4.576,,,adult,4,2.88
adult,3,4.647,,,adult,3,2.712
adult,2,5.505,,,adult,2,2.925
adult,1,5.434,,,adult,1,3.097
Diabetes,30,4.334,0.374253255,,Diabetes,30,2.867
Diabetes,29,4.307,,,Diabetes,29,2.8
Diabetes,28,4.327,,,Diabetes,28,2.71
Diabetes,27,4.35,,,Diabetes,27,2.73
Diabetes,26,4.516,,,Diabetes,26,2.766
Diabetes,25,5.205,,,Diabetes,25,3.01
Diabetes,24,5.201,,,Diabetes,24,2.756
Diabetes,23,4.353,,,Diabetes,23,2.605
Diabetes,22,4.352,,,Diabetes,22,2.767
Diabetes,21,5.002,,,Diabetes,21,3.067
Diabetes,20,4.342,,,Diabetes,20,3.143
Diabetes,19,4.292,,,Diabetes,19,2.626
Diabetes,18,4.431,,,Diabetes,18,3.151
Diabetes,17,4.406,,,Diabetes,17,2.953
Diabetes,16,4.539,,,Diabetes,16,2.65
Diabetes,15,4.334,,,Diabetes,15,2.763
Diabetes,14,5.774,,,Diabetes,14,2.641
Diabetes,13,4.297,,,Diabetes,13,2.477
Diabetes,12,4.397,,,Diabetes,12,2.785
Diabetes,11,4.333,,,Diabetes,11,2.738
Diabetes,10,4.224,,,Diabetes,10,2.723
Diabetes,9,4.182,,,Diabetes,9,2.727
Diabetes,8,4.491,,,Diabetes,8,2.62
Diabetes,7,5.16,,,Diabetes,7,2.564
Diabetes,6,4.258,,,Diabetes,6,2.771
Diabetes,5,4.353,,,Diabetes,5,2.788
Diabetes,4,4.416,,,Diabetes,4,2.641
Diabetes,3,4.423,,,Diabetes,3,2.541
Diabetes,2,4.151,,,Diabetes,2,2.665
Diabetes,1,4.656,,,Diabetes,1,2.683
Poker,30,5.686,0.557236515,,C4,30,2.924
Poker,29,5.481,,,C4,29,2.96
Poker,28,6.046,,,C4,28,3.076
Poker,27,5.405,,,C4,27,2.687
Poker,26,4.526,,,C4,26,2.794
Poker,25,4.502,,,C4,25,2.831
Poker,24,4.578,,,C4,24,2.791
Poker,23,4.581,,,C4,23,2.874
Poker,22,4.286,,,C4,22,2.753
Poker,21,5.176,,,C4,21,2.793
Poker,20,4.358,,,C4,20,3.011
