S1,C1,S2,C2,S3,C3,S4,C4,S5,C5,CLASS
1,10,1,11,1,13,1,12,1,1,High
2,11,2,13,2,10,2,12,2,1,High
3,12,3,11,3,13,3,10,3,1,High
4,10,4,11,4,1,4,13,4,12,High
4,1,4,13,4,12,4,11,4,10,High
1,2,1,4,1,5,1,3,1,6,High
1,9,1,12,1,10,1,11,1,13,High
2,1,2,2,2,3,2,4,2,5,High
3,5,3,6,3,9,3,7,3,8,High
4,1,4,4,4,2,4,3,4,5,High
1,1,2,1,3,9,1,5,2,3,Low
2,6,2,1,4,13,2,4,4,9,Low
1,10,4,6,1,2,1,1,3,8,Low
2,13,2,1,4,4,1,5,2,11,Low
3,8,4,12,3,9,4,2,3,2,Low
1,3,4,7,1,5,2,4,4,13,Low
1,4,1,1,1,3,3,5,3,2,Low
3,8,3,12,2,7,2,6,1,2,Low
4,8,1,11,4,6,3,2,4,12,Low
3,7,2,7,4,11,1,12,3,1,Low
1,13,4,8,2,7,2,10,3,13,Low
2,6,2,8,1,11,1,4,3,7,Low
3,10,2,10,4,5,1,2,3,8,Low
2,1,3,13,4,6,1,9,4,1,Low
2,10,2,8,1,8,3,2,2,13,Low
2,13,1,5,4,5,4,8,3,3,Low
3,1,1,5,2,7,3,13,1,1,Low
1,7,1,5,4,8,1,6,2,6,Low
3,7,3,9,2,12,2,5,4,4,Low
2,10,1,1,1,12,4,6,2,8,Low
3,13,2,7,4,11,3,11,2,11,Low
4,2,2,7,3,13,2,11,3,10,Low
1,11,2,7,1,6,4,2,1,1,Low
3,4,4,3,3,5,2,12,1,9,Low
3,2,1,6,2,11,4,3,2,10,Low
4,8,4,3,4,13,4,12,1,1,Low
2,6,4,8,4,3,2,2,1,2,Low
4,13,1,6,3,8,1,3,2,3,Low
2,9,2,10,4,11,4,7,4,3,Low
2,10,3,12,1,2,2,2,2,13,Low
2,5,2,12,2,3,1,2,3,3,Low
2,8,3,2,2,5,1,12,4,8,Low
2,1,4,7,4,6,4,5,1,5,Low
3,13,2,1,3,7,1,3,2,6,Low
4,10,4,13,3,5,2,8,1,10,Low
1,2,1,11,3,9,1,7,3,5,Low
